Education_Sector,School_Name,School_Type,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,LGA_Name,X,Y
Catholic,Parade College,Secondary,1436 Plenty Road,,BUNDOORA,VIC,3083,Banyule (C),145.066978,-37.690178
Catholic,Simonds Catholic College,Secondary,273 Victoria Street,,WEST MELBOURNE,VIC,3003,Melbourne (C),144.952883,-37.805971
Catholic,St Mary’s College Melbourne,Secondary,11 Westbury Street,,ST KILDA EAST,VIC,3183,Port Phillip (C),144.997001,-37.859365
Catholic,St Patrick's College Ballarat,Secondary,1431 Sturt Street,,BALLARAT,VIC,3350,Ballarat (C),143.831558,-37.559711
Catholic,St Patrick's School,Primary,119 Drummond Street South,,BALLARAT,VIC,3350,Ballarat (C),143.847147,-37.564397
Catholic,St Alipius' Parish School,Primary,106-108 Victoria Street,,BALLARAT EAST,VIC,3350,Ballarat (C),143.8740084,-37.56170371
Catholic,Emmanuel College Warrnambool,Secondary,140 Botanic Road,,WARRNAMBOOL,VIC,3280,Warrnambool (C),142.477358,-38.370986
Catholic,Loreto College,Secondary,1600 Sturt Street,,BALLARAT,VIC,3350,Ballarat (C),143.8234695,-37.55686069
Catholic,St Mary's School,Primary,39 Malcolm Street,,MANSFIELD,VIC,3722,Mansfield (S),146.089007,-37.058351
Catholic,Sacred Heart School,Primary,20 Newcastle St,,NEWPORT,VIC,3015,Hobsons Bay (C),144.881396,-37.840028
Catholic,St Mary's School,Primary,118 Cecil Street,,WILLIAMSTOWN,VIC,3016,Hobsons Bay (C),144.900894,-37.863498
Catholic,St Michael’s Primary School,Primary,8-14 Brougham Street,,NORTH MELBOURNE,VIC,3051,Melbourne (C),144.946246,-37.793305
Catholic,St Patrick's School,Primary,Ovens Street,,WANGARATTA,VIC,3677,Wangaratta (RC),146.32195,-36.356163
Catholic,St Mary's School,Primary,214 Dandenong Road,,ST KILDA EAST,VIC,3183,Port Phillip (C),144.997592,-37.859021
Catholic,Assumption College,Secondary,Sutherland Street,,KILMORE,VIC,3764,Mitchell (S),144.947629,-37.301013
Catholic,St Brendan's School,Primary,103 Wellington Street,,FLEMINGTON,VIC,3031,Moonee Valley (C),144.931728,-37.784696
Catholic,Catherine McAuley College,Secondary,164 Barkly Street,,BENDIGO,VIC,3550,Greater Bendigo (C),144.273362,-36.753444
Catholic,St Augustine's School,Primary,58 Burke Street,,MARYBOROUGH,VIC,3465,Central Goldfields (S),143.736798,-37.051831
Catholic,St Mary's School,Primary,5 Hope Avenue,,BAIRNSDALE,VIC,3875,East Gippsland (S),147.5856286,-37.84139544
Catholic,St Aloysius' School,Primary,800 Ripon Street South,,REDAN,VIC,3350,Ballarat (C),143.837673,-37.578109
Catholic,St Joseph's School,Primary,571 Glenferrie Road,,HAWTHORN,VIC,3122,Boroondara (C),145.034315,-37.826461
Catholic,Sacre Coeur,Pri/Sec,172 Burke Road,,GLEN IRIS,VIC,3146,Stonnington (C),145.051572,-37.861753
Catholic,St Joseph's School,Primary,39 James Street,,NORTHCOTE,VIC,3070,Darebin (C),144.996721,-37.774621
Catholic,Sacred Heart School,Primary,1 Clifton Grove,,PRESTON,VIC,3072,Darebin (C),145.003768,-37.744807
Catholic,Sacred Heart School,Primary,4 Wilson Street,,MORWELL,VIC,3840,Latrobe (C),146.4043244,-38.23943484
Catholic,St Michael's School,Primary,Church Street,,TRARALGON,VIC,3844,Latrobe (C),146.534695,-38.195161
Catholic,St Brendan's School,Primary,143 - 149 Knight Street,,SHEPPARTON,VIC,3630,Greater Shepparton (C),145.407652,-36.374731
Catholic,St Mary's College,Pri/Sec,90 High Street,,SEYMOUR,VIC,3660,Mitchell (S),145.140924,-37.019895
Catholic,St Mary's School,Primary,134 Woods Street,,DONALD,VIC,3480,Buloke (S),142.9851708,-36.37357574
Catholic,St Mary's Primary School,Primary,11 Pearson Street,,SALE,VIC,3850,Wellington (S),147.062326,-38.110706
Catholic,St Patrick's Primary School,Primary,1 Conway Street,,KILMORE,VIC,3764,Mitchell (S),144.948109,-37.299394
Catholic,St Brigid's School,Primary,96 Inglis Street,,BALLAN,VIC,3342,Moorabool (S),144.228732,-37.599896
Catholic,St Patrick's School,Primary,1564 Old Melbourne Road,,GORDON,VIC,3345,Moorabool (S),144.0909009,-37.58064935
Catholic,St Mary's School,Primary,20-28 Chauncy Street,,LANCEFIELD,VIC,3435,Macedon Ranges (S),144.731727,-37.278756
Catholic,St Augustine's School,Primary,119 Napier Street,,CRESWICK,VIC,3363,Hepburn (S),143.8922616,-37.42850667
Catholic,St Monica's School,Primary,91 High Street,,KANGAROO FLAT,VIC,3555,Greater Bendigo (C),144.2448,-36.79419899
Catholic,St Joseph's School,Primary,17 Wedge Street,,BENALLA,VIC,3672,Benalla (RC),145.974115,-36.553963
Catholic,Sacred Heart College,Secondary,Retreat Road,,NEWTOWN,VIC,3220,Greater Geelong (C),144.3401453,-38.14949635
Catholic,St Patrick's School,Primary,Wattle Street,,ST ARNAUD,VIC,3478,Northern Grampians (S),143.246862,-36.61707734
Catholic,St Joseph's College Mildura,Secondary,154 Twelfth Street,,MILDURA,VIC,3500,Mildura (RC),142.153461,-34.188725
Catholic,Star of the Sea College,Secondary,80 Martin Street,,BRIGHTON,VIC,3186,Bayside (C),144.99678,-37.896734
Catholic,St James' School,Primary,6 St James Close,,BRIGHTON,VIC,3186,Bayside (C),144.997657,-37.897945
Catholic,St Peter's School,Primary,842 Centre Road,,BENTLEIGH EAST,VIC,3165,Glen Eira (C),145.070911,-37.923044
Catholic,St Liborius' School,Primary,379 Eaglehawk Road,,EAGLEHAWK,VIC,3556,Greater Bendigo (C),144.25729,-36.723477
Catholic,Damascus College,Secondary,1412 Geelong Road,,MOUNT CLEAR,VIC,3350,Ballarat (C),143.870347,-37.611456
Catholic,St Mary's School,Primary,84 Templeton Street,,CASTLEMAINE,VIC,3450,Mount Alexander (S),144.2209585,-37.06395716
Catholic,Sacred Heart College,Secondary,94 High Street,,KYNETON,VIC,3444,Macedon Ranges (S),144.458821,-37.252887
Catholic,St Ambrose's School,Primary,14-18 Templeton Street,,WOODEND,VIC,3442,Macedon Ranges (S),144.53049,-37.35779241
Catholic,St Joseph's School,Primary,Watson Street,,CHARLTON,VIC,3525,Buloke (S),143.351051,-36.271767
